Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"18650 Li-ion Rechargeable Battery","To power the entire system",3,2.20,"https://store.roboticsbd.com/tools-accessories/2010-18650-li-ion-rechargeable-battery-blue-robotics-bangladesh.html","RoboticsBD"
"18650 Battery Holder – 1 Cell","Single cell battery holder to safely house the power supply unit consisting of 3 rechargeable 18650 batteries. I had to buy 3 cause they need to be connected to parallel and all the 3s cases I could find was pre-wired into series,which makes the voltage exceed.",3,0.98,"https://store.roboticsbd.com/power-module-adapter/989-18650-battery-holder-1-cell-robotics-bangladesh.html","RoboticsBD"
"TP4056 Charging Module","For charging the rechargable Batteries via USB",1,0.26,"https://store.roboticsbd.com/robotics-parts/919-tp4056-lithium-battery-charger-module-with-protection-dual-functions-robotics-bangladesh.html","RoboticsBD"
"DC-DC Boost Module XL6009","To maintain a stable voltage of 5v from the TP4056 to the whole system.",1,0.68,"https://store.roboticsbd.com/components/730-dc-dc-boost-module-xl6009-robotics-bangladesh.html","RoboticsBD"
"Breadboard","For electrical prototyping",1,1.30,"https://store.roboticsbd.com/components/133-breadboard-full-size-bare-830-tie-points-robotics-bangladesh.html","RoboticsBD"
"1000UF 16v Capacitor","To put across the vcc and gnd of the led strips to ensure smooth power supply",3,0.27,"https://store.roboticsbd.com/capacitor/4225-1000uf-25v-capacitor-robotics-bangladesh.html","RoboticsBD"
"Mini Wire Cutter","To get clean wire ends",1,1.63,"https://store.roboticsbd.com/tools-accessories/1170-wire-cutter-mini-robotics-bangladesh.html","RoboticsBD"
"Soldering iron stand","To hold the soldering iron safely ",1,1.18,"https://store.roboticsbd.com/tools-accessories/1166-soldering-iron-stand-robotics-bangladesh.html#idTab798","RoboticsBD"
"Solder Flux Pen","To ensure smooth solder flow",1,2.28,"https://store.roboticsbd.com/tools-accessories/1160--10ml-soldering-flux-pen-robotics-bangladesh.html","RoboticsBD"
"Tin Soldering Lead","To make solder connections",1,0.80,"https://store.roboticsbd.com/soldering-accessories-robotics-bangladesh/2612-premium-6040-sn-pb-tin-soldering-lead-with-rosin-20g-low-melting-point-robotics-bangladesh.html","RoboticsBD"
"Soldering Iron","To make permanent electrical joints after finalising the prototype.",1,6.36,"https://store.roboticsbd.com/soldering-accessories-robotics-bangladesh/3755-60w-adjustable-temperature-soldering-iron-200c-to-450c-precision-tool-robotics-bangladesh.html","RoboticsBD"
"Male to female jumper cables","Making connections between modules",1,0.45,"https://store.roboticsbd.com/cables-wire/2640-male-to-female-jumper-wires-20-pcs-20cm-robotics-bangladesh.html","RoboticsBD"
"Female to female jumper wire","Making connections across different modules.",1,0.45,"https://store.roboticsbd.com/cables-wire/2641-female-to-female-jumper-wires-20-pcs-20cm-robotics-bangladesh.html","RoboticsBD"
"8-bit WS2812B 5050 RGB LED","To give a visualisation of the datas coming from the sensors. Where green will mean low stress, yellow is mid-level and red will indicate peak stress level.LED strips are being used to use them like bar charts,more lit leds mean higher sensor data.",3,3.67,"https://store.roboticsbd.com/led-laser-module/2314-8-bit-ws2812b-5050-rgb-led-built-in-full-color-driver-development-board-straight-robotics-bangladesh.html","RoboticsBD"
"Galvanic Skin Response GSR Sensor","To measure the amount of sweating from the subject to determine his stress level ",1,19.88,"https://store.roboticsbd.com/sensors/2146-galvanic-skin-response-gsr-sensor-robotics-bangladesh.html","RoboticsBD"
"Esp-32 wroom","The brain of the whole project. This board will take readings from the GSR and pulse sensor and then process the data and determine whether or not the person is lying. ",1,4.81,"https://store.roboticsbd.com/development-boards/2266-esp32-dev-board-ch340-usb-c-robotics-bangladesh.html","RoboticsBD"
"MAX30105 Particle Optical Sensor Photodetectors Oximeter Module","To measure pulse rate and oxygen saturation. Buying a clone version for cost optimisation, the original sparkfun model costs double.",1,7.74,"https://store.roboticsbd.com/sensors/812-high-accuracy-i2c-max30105-particle-optical-sensor-photodetectors-module-robotics-bangladesh.html","RoboticsBD"
